homeTeam,awayTeam
Arsenal,Chelsea
Arsenal,Liverpool
Arsenal,Manchester City
Arsenal,Manchester United
Arsenal,Tottenham
Chelsea,Arsenal
Chelsea,Liverpool
Chelsea,Manchester City
Chelsea,Manchester United
Chelsea,Tottenham
Liverpool,Arsenal
Liverpool,Chelsea
Liverpool,Manchester City
Liverpool,Manchester United
Liverpool,Tottenham
Manchester City,Arsenal
Manchester City,Chelsea
Manchester City,Liverpool
Manchester City,Manchester United
Manchester City,Tottenham
Manchester United,Arsenal
Manchester United,Chelsea
Manchester United,Liverpool
Manchester United,Manchester City
Manchester United,Tottenham
Tottenham,Arsenal
Tottenham,Chelsea
Tottenham,Liverpool
Tottenham,Manchester City
Tottenham,Manchester United
