homeTeam,awayTeam,homeGoals,awayGoals
Tottenham,Manchester City,1,0
Arsenal,Chelsea,0,2
Manchester City,Arsenal,5,0
Liverpool,Chelsea,1,1
Tottenham,Chelsea,0,3
Chelsea,Manchester City,0,1
Arsenal,Tottenham,3,1
Liverpool,Manchester City,2,2
Manchester United,Liverpool,0,5
Tottenham,Manchester United,0,3
Manchester United,Manchester City,0,2
Liverpool,Arsenal,4,0
Chelsea,Manchester United,1,1
Manchester United,Arsenal,3,2
Tottenham,Liverpool,2,2
Arsenal,Manchester City,1,2
Chelsea,Liverpool,2,2
Manchester City,Chelsea,1,0
Chelsea,Tottenham,2,0
Manchester City,Tottenham,2,3
Manchester City,Manchester United,4,1
Manchester United,Tottenham,3,2
Arsenal,Liverpool,0,2
